date,Event,Person,Place,TV
2023-03-01,0.33039663784548445,0.5202509677109686,0.12005000642013823,0.029302388023408774
2023-03-02,0.3892571775710886,0.4682070547722743,0.1188309123677452,0.023704855288891897
2023-03-03,0.3675610337972167,0.5027897680583168,0.10794603048376408,0.021703167660702453
2023-03-04,0.415830572401434,0.4642039748041715,0.09703488573821208,0.022930567056182346
2023-03-05,0.3843398512398517,0.49194616306897765,0.10206995130082415,0.021644034390346505
2023-03-06,0.3662493703320748,0.5078154850743359,0.10501925263290866,0.02091589196068065
2023-03-07,0.4031859937979423,0.4785135345892452,0.09584523368706686,0.02245523792574562
2023-03-08,0.5085382259273197,0.40185039693925734,0.07344882148841372,0.01616255564500929
2023-03-09,0.4245793539827769,0.48439454259638887,0.07630928044211605,0.014716822978718175
2023-03-10,0.35805506907251705,0.5192541912229578,0.10239083199500033,0.020299907709524813
2023-03-11,0.38849877435488694,0.4804501161608547,0.1123372996019952,0.018713809882263146
2023-03-12,0.4265613336714471,0.45710669879088,0.0994636900393764,0.016868277498296516
2023-03-13,0.4908495356454743,0.4198411415667939,0.07462566047281824,0.014683662314913543
2023-03-14,0.33753664040813003,0.47859536675755604,0.07907649801576092,0.10479149481855302
2023-03-15,0.4074907021806516,0.46849875468747343,0.1014727002259638,0.02253784290591117
2023-03-16,0.38975252515956715,0.48461222261078696,0.09831812818137384,0.027317124048272013
2023-03-17,0.38054553624181087,0.49524217382203234,0.10105395319580456,0.023158336740352187
2023-03-18,0.4093562154984393,0.490151584897142,0.08607710395427323,0.014415095650145452
2023-03-19,0.24591435752184493,0.677687305946026,0.06481960409325728,0.011578732438871812
2023-03-20,0.36137987086150275,0.5147241670930507,0.09923796243099112,0.02465799961445542
2023-03-21,0.47649081964536455,0.42596693754318143,0.08268002927731431,0.0148622135341397
2023-03-22,0.350085196507919,0.5332100778508597,0.10146132267800333,0.015243402963217937
2023-03-23,0.3405968252299507,0.5429802963757009,0.09495098734015621,0.02147189105419224
2023-03-24,0.26167425186045246,0.633799561473089,0.08794372182943377,0.01658246483702477
2023-03-25,0.2778198321795473,0.5375851094390424,0.16235944863776708,0.022235609743643244
2023-03-26,0.3357799492413131,0.5642526962452902,0.08363400869645665,0.01633334581694005
2023-03-27,0.35218804868934933,0.5341603078214878,0.09095402875943728,0.022697614729725635
2023-03-28,0.29544448985156585,0.5802278625489091,0.100479314202706,0.02384833339681904
2023-03-29,0.32703300596770596,0.5611483120290237,0.09224878170516071,0.019569900298109646
2023-03-30,0.28631661984023865,0.5599569348463118,0.13335110724964067,0.02037533806380888
2023-03-31,0.501532235781166,0.3551056247108424,0.12459784134704714,0.018764298160944385
