,US,JP,GB,IN,DE
0,Q5296,Q5296,Q178995,Q5296,Q178995
1,Q178995,Q4391858,Q5296,Q25136249,Q5296
2,Q23685,Q107315831,Q1416917,Q22075020,Q35127
3,Q5296,Q22120815,Q866,Q115877036,Q38964
4,Q866,Q10855516,Q967157,Q866,Q1196780
5,Q42253,Q26457,Q47778,Q635,Q115564437
6,Q2429697,Q11365305,Q4968393,Q324670,Q108837349
7,Q747452,Q940215,Q322056,Q396412,Q83808444
8,Q322056,Q5296,Q436394,Q115564437,Q322056
9,Q115564437,Q107315831,Q87131973,Q115368075,Q42841188
10,Q35127,Q202756,Q24891605,Q3121114,Q936394
11,Q114929139,Q106479226,Q14752155,Q483236,Q3250182
12,Q14752155,Q56059810,Q35127,Q114620212,Q337724
13,Q834730,Q71678901,Q174924,Q209330,Q702233
14,Q193555,Q9007552,Q6390541,Q6418591,Q114929139
15,Q108673301,Q17229848,Q113470320,Q115516434,Q183
16,Q181817,Q11638712,Q114929139,Q28561969,Q113841230
17,Q106997,Q11437367,Q214289,Q115723699,Q19287990
18,Q80322358,Q43426837,Q115564437,Q19045,Q157191
19,Q214289,Q104538904,Q181817,Q80322358,Q207332
20,Q17460747,Q34861530,Q28967995,Q668,Q73885
21,Q83808444,Q106866475,Q15908324,Q1381966,Q2386078
22,Q87131973,Q111593161,Q20993862,Q283696,Q19045
23,Q105883400,Q3100078,Q193555,Q8042634,Q55102256
24,Q349852,Q54292783,Q11571,Q115802915,Q193555
